Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,inactive
,James Smith,James,Smith,Executive Management,1a,James.Smith1@eshiam.com,James.Smith,inactive,false
,Crystal Schmidt,Crystal,Schmidt,Inventory,1c2b3d4a,Crystal.Schmidt@eshiam.com,Crystal.Schmidt,1c2b3d,inactive,false
,Tony Carr,Tony,Carr,Inventory,1c2b3d4b,Tony.Carr@eshiam.com,Tony.Carr,1c2b3d,inactive,false
,Gladys Vasquez,Gladys,Vasquez,Inventory,1c2b3d4c,Gladys.Vasquez@eshiam.com,Gladys.Vasquez,1c2b3d,inactive,false
,Luis Castillo,Luis,Castillo,Inventory,1c2b3d4d,Luis.Castillo@eshiam.com,Luis.Castillo,1c2b3d,inactive,false
,Rita Wheeler,Rita,Wheeler,Inventory,1c2b3d4e,Rita.Wheeler@eshiam.com,Rita.Wheeler,1c2b3d,inactive,false
,Lori Ferguson,Lori,Ferguson,Regional Operations,1c2c,Lori.Ferguson@eshiam.com,Lori.Ferguson,1c,inactive,false
,Bobby Stephens,Bobby,Stephens,Accounting,1c2c3a,Bobby.Stephens@eshiam.com,Bobby.Stephens,1c2c,inactive,false
,Mike Chapman,Mike,Chapman,Accounting,1c2c3a4a,Mike.Chapman@eshiam.com,Mike.Chapman,1c2c3a,inactive,false
,Dawn Oliver,Dawn,Oliver,Accounting,1c2c3a4b,Dawn.Oliver@eshiam.com,Dawn.Oliver,1c2c3a,inactive,false
,Stanley Montgomery,Stanley,Montgomery,Accounting,1c2c3a4c,Stanley.Montgomery@eshiam.com,Stanley.Montgomery,1c2c3a,inactive,false
,Connie Richards,Connie,Richards,Accounting,1c2c3a4d,Connie.Richards@eshiam.com,Connie.Richards,1c2c3a,inactive,false
,Leonard Williamson,Leonard,Williamson,Accounting,1c2c3a4e,Leonard.Williamson@eshiam.com,Leonard.Williamson,1c2c3a,inactive,false
,Louise Payne,Louise,Payne,Accounting,1c2c3b,Louise.Payne@eshiam.com,Louise.Payne,1c2c,inactive,false
,Florence Johnston,Florence,Johnston,Accounting,1c2c3b4a,Florence.Johnston@eshiam.com,Florence.Johnston,1c2c3b,inactive,false
,Nathan Banks,Nathan,Banks,Accounting,1c2c3b4b,Nathan.Banks@eshiam.com,Nathan.Banks,1c2c3b,inactive,false
,Tracy Meyer,Tracy,Meyer,Accounting,1c2c3b4c,Tracy.Meyer@eshiam.com,Tracy.Meyer,1c2c3b,inactive,false
,Dale Bishop,Dale,Bishop,Accounting,1c2c3b4d,Dale.Bishop@eshiam.com,Dale.Bishop,1c2c3b,inactive,false
,Edna Mccoy,Edna,Mccoy,Accounting,1c2c3b4e,Edna.Mccoy@eshiam.com,Edna.Mccoy,1c2c3b,inactive,false
,Victor Pierce,Victor,Pierce,Finance,1c2c3c,Victor.Pierce@eshiam.com,Victor.Pierce,1c2c,inactive,false
,Manuel Howell,Manuel,Howell,Finance,1c2c3c4a,Manuel.Howell@eshiam.com,Manuel.Howell,1c2c3c,inactive,false
,Tiffany Alvarez,Tiffany,Alvarez,Finance,1c2c3c4b,Tiffany.Alvarez@eshiam.com,Tiffany.Alvarez,1c2c3c,inactive,false
,Rodney Morrison,Rodney,Morrison,Finance,1c2c3c4c,Rodney.Morrison@eshiam.com,Rodney.Morrison,1c2c3c,inactive,false
,Carmen Hansen,Carmen,Hansen,Finance,1c2c3c4d,Carmen.Hansen@eshiam.com,Carmen.Hansen,1c2c3c,inactive,false
,Curtis Fernandez,Curtis,Fernandez,Finance,1c2c3c4e,Curtis.Fernandez@eshiam.com,Curtis.Fernandez,1c2c3c,inactive,false
,Sara Berry,Sara,Berry,Finance,1c2c3d,Sara.Berry@eshiam.com,Sara.Berry,1c2c,inactive,false
,Rosa Garza,Rosa,Garza,Finance,1c2c3d4a,Rosa.Garza@eshiam.com,Rosa.Garza,1c2c3d,inactive,false
,Norman Harvey,Norman,Harvey,Finance,1c2c3d4b,Norman.Harvey@eshiam.com,Norman.Harvey,1c2c3d,inactive,false
,Cindy Little,Cindy,Little,Finance,1c2c3d4c,Cindy.Little@eshiam.com,Cindy.Little,1c2c3d,inactive,false
,Allen Burton,Allen,Burton,Finance,1c2c3d4d,Allen.Burton@eshiam.com,Allen.Burton,1c2c3d,inactive,false
,Grace Stanley,Grace,Stanley,Finance,1c2c3d4e,Grace.Stanley@eshiam.com,Grace.Stanley,1c2c3d,inactive,false
,Larry hattery,Larry,Hattery,Engineering,2aac,lhattery@eshiam.com,Larry.Hattery,1a,inactive,false
,Dharvik gadiparthy,Dharvik,gadiparthy,Finance,010,Dgadiparthy@eshiam.com,Dharvik.gadiparthy,1a,inactive,false
,Lucky nuthalapati,Lucky,Gottipati,Engineering,011,Lnuthalapati@eshiam.com,Lucky.nuthalapati,1c2c3d,inactive,false
,Deepthi nuthalapati,Deepthi,nuthalapati,Human Resources,012,DNelapati@eshiam.com,Deepthi.nuthalapati,1c2c,inactive,false
,Sindhu Nuthalapati,Sindhu,Nuthalapati,Engineering,015,SNuthalapati@eshiam.com,Sindhu.Nuthalapati,1c2c3d,inactive,false
,NarendraModi Damodardas,NarendraModi,Damodardas,PrimeMinister,016,NDamodardas@eshiam.com,NarendraModi.Damodardas,1c2c,inactive,false
,AbdulKalam Avul Pakir Jainulabdeen,AbdulKalam,Avul Pakir Jainulabdeen,President,017,AAPJ@eshiam.com,AbdulKalam.Avul Pakir Jainulabdeen,1c2c3c,inactive,false
,Naveesh Rangola,Naveesh,Rangola,Executive Management,018,NRangola@eshiam.com,Naveesh.Rangola,1c2c3c,inactive,false
